samples	S-LLPA_core_genes
PC_00000473	Yes
PC_00001187	Yes
PC_00000536	Yes
PC_00000305	Yes
PC_00000579	Yes
PC_00000025	No
PC_00000970	No
PC_00000402	Yes
PC_00000664	No
PC_00000405	Yes
PC_00000772	Yes
PC_00000943	Yes
PC_00000561	Yes
PC_00001080	No
PC_00000547	No
PC_00000752	No
PC_00000533	No
PC_00000541	No
PC_00001481	No
PC_00001431	No
PC_00001479	No
PC_00001444	No
PC_00001418	No
PC_00001478	No
PC_00001007	No
PC_00001596	No
PC_00000658	No
PC_00000881	Yes
PC_00000670	No
PC_00000692	No
PC_00000740	No
PC_00000727	No
PC_00001625	No
PC_00000725	Yes
PC_00000668	Yes
PC_00000683	No
PC_00000534	No
PC_00000544	Yes
PC_00000735	No
PC_00001366	No
PC_00001305	No
PC_00001249	No
PC_00001159	No
PC_00001210	No
PC_00000293	No
PC_00001156	No
PC_00001119	No
PC_00001151	No
PC_00000419	Yes
PC_00000935	Yes
PC_00000788	Yes
PC_00000823	Yes
PC_00001212	Yes
PC_00000693	Yes
PC_00001120	Yes
PC_00001098	Yes
PC_00001103	No
PC_00001081	Yes
PC_00001250	Yes
PC_00000967	Yes
PC_00000449	Yes
PC_00000126	Yes
PC_00001276	Yes
PC_00000747	Yes
PC_00000206	Yes
PC_00000638	Yes
PC_00000838	Yes
PC_00000315	Yes
PC_00001054	Yes
PC_00002074	Yes
PC_00001102	No
PC_00000254	Yes
PC_00000351	Yes
PC_00000268	No
PC_00002173	No
PC_00000391	No
PC_00000263	Yes
PC_00000500	Yes
PC_00000331	Yes
PC_00000501	Yes
PC_00000506	No
PC_00000963	Yes
PC_00000438	Yes
PC_00000403	Yes
PC_00000360	Yes
PC_00000790	No
