Metagenome	Body_Site	Body_Subsite	Host_Gender
SRS056622	Oral	Tongue_dorsum	Female
SRS056695	UrogenitalTract	Posterior_fornix	Female
SRS056892	Oral	Buccal_mucosa	Female
SRS057022	Oral	Buccal_mucosa	Female
SRS057083	Skin	Retroauricular_crease	Male
SRS057205	Oral	Tongue_dorsum	Male
SRS057355	Oral	Tongue_dorsum	Male
SRS057539	Oral	Tongue_dorsum	Male
SRS057692	Oral	Tongue_dorsum	Male
SRS057717	GastrointestinalTract	Stool	Female
SRS057791	Oral	Tongue_dorsum	Male
SRS057807	UrogenitalTract	Posterior_fornix	Female
SRS058053	Oral	Supragingival_plaque	Male
SRS058105	Oral	Buccal_mucosa	Male
SRS058182	Skin	Retroauricular_crease	Male
SRS058213	Airways	Nares	Female
SRS058221	Skin	Retroauricular_crease	Male
SRS058336	Oral	Tongue_dorsum	Male
SRS058723	GastrointestinalTract	Stool	Female
SRS058770	GastrointestinalTract	Stool	Male
SRS058808	Oral	Supragingival_plaque	Male
SRS062427	GastrointestinalTract	Stool	Male
SRS062520	UrogenitalTract	Posterior_fornix	Female
SRS062540	Oral	Tongue_dorsum	Female
SRS062544	Oral	Tongue_dorsum	Male
SRS062713	Airways	Nares	Female
SRS062752	UrogenitalTract	Vaginal_introitus	Female
SRS062761	Oral	Tongue_dorsum	Male
SRS063035	Airways	Nares	Male
SRS063040	GastrointestinalTract	Stool	Female
SRS063178	Airways	Nares	Male
SRS063193	Oral	Tongue_dorsum	Female
SRS063215	Oral	Subgingival_plaque	Female
SRS063272	Oral	Buccal_mucosa	Female
SRS063287	Oral	Buccal_mucosa	Male
SRS063288	Oral	Tongue_dorsum	Female
SRS063351	Oral	Palatine_tonsils	Female
SRS063417	UrogenitalTract	Posterior_fornix	Female
SRS063478	Oral	Buccal_mucosa	Female
SRS063603	Oral	Supragingival_plaque	Female
SRS063932	Oral	Tongue_dorsum	Male
SRS063985	GastrointestinalTract	Stool	Female
SRS063999	Oral	Supragingival_plaque	Female
SRS064276	GastrointestinalTract	Stool	Female
SRS064376	UrogenitalTract	Posterior_fornix	Female
SRS064423	Oral	Tongue_dorsum	Female
SRS064449	Oral	Supragingival_plaque	Female
SRS064493	Oral	Supragingival_plaque	Male
SRS064557	GastrointestinalTract	Stool	Female
SRS064645	GastrointestinalTract	Stool	Male
SRS064704	UrogenitalTract	Posterior_fornix	Female
SRS064774	Oral	Tongue_dorsum	Female
SRS064809	Oral	Buccal_mucosa	Female
SRS065099	Oral	Supragingival_plaque	Female
SRS065133	Oral	Buccal_mucosa	Male
SRS065142	Airways	Nares	Female
SRS065179	Airways	Nares	Female
SRS065278	Oral	Tongue_dorsum	Female
SRS065310	Oral	Supragingival_plaque	Female
SRS065335	Oral	Throat	Male
SRS065347	UrogenitalTract	Posterior_fornix	Female
SRS065431	Oral	Buccal_mucosa	Female
SRS065504	GastrointestinalTract	Stool	Female
SRS075406	Oral	Buccal_mucosa	Female
SRS075410	Oral	Supragingival_plaque	Female
SRS077730	GastrointestinalTract	Stool	Female
SRS077736	Oral	Tongue_dorsum	Female
SRS077738	Oral	Buccal_mucosa	Female
SRS077751	UrogenitalTract	Posterior_fornix	Female
SRS078176	GastrointestinalTract	Stool	Female
